T	rho	B2	P_virial	Sk0	kappa	mu	s2	Sk_max
2.0	0.8	-3.35355030656	79732.4860384	0.132547707153	0.0828423169704	3.06171129701	-0.395569938027	2.15591341193
2.0	0.79	-3.35355030656	-57509.1246558	0.143195362925	0.0906299765351	2.42906316258	-0.383749822218	2.12190575044
2.0	0.78	-3.35355030656	-55445.7054998	0.154868459393	0.0992746534567	1.83765399325	-0.372230959694	2.08842332795
2.0	0.77	-3.35355030656	-53280.5611237	0.167689794188	0.108889476746	1.28508355209	-0.361003880694	2.05557978937
2.0	0.76	-3.35355030656	-52129.4295509	0.181800171898	0.119605376248	0.76909596018	-0.350059515523	2.0234646689
2.0	0.75	-3.35355030656	-49103.5879691	0.197361571022	0.131574380681	0.287569273937	-0.339389187296	1.99214683006
2.0	0.74	-3.35355030656	-48139.0450192	0.214560971704	0.14497362953	-0.161494158215	-0.328984596154	1.96167754236
2.0	0.73	-3.35355030656	-45756.1873572	0.233615003226	0.160010276182	-0.579976558731	-0.318837804044	1.93340251074
2.0	0.72	-3.35355030656	-43708.938198	0.254775614863	0.176927510321	-0.969652840628	-0.308941220211	1.9069932679
2.0	0.71	-3.35355030656	-41896.164471	0.278337034968	0.196011996456	-1.33219807107	-0.299287587245	1.88118943484
2.0	0.7	-3.35355030656	-39526.0550196	0.304644360349	0.217603114535	-1.66919432119	-0.289869967757	1.85603243758
2.0	0.69	-3.35355030656	-38399.1971226	0.334104224652	0.242104510618	-1.98213695885	-0.280681731666	1.83155294962
2.0	0.68	-3.35355030656	-36356.4755791	0.367198138866	0.269998631519	-2.27244043821	-0.271716544033	1.80777249748
2.0	0.67	-3.35355030656	-34015.0690168	0.404499293044	0.301865144063	-2.54144362045	-0.262968353541	1.78470487454
2.0	0.66	-3.35355030656	-32187.5643597	0.446693884399	0.338404457878	-2.79041467625	-0.254431381525	1.76235737825
2.0	0.65	-3.35355030656	-30762.2245401	0.494608421272	0.380468016363	-3.02055560163	-0.246100111634	1.74135617864
2.0	0.64	-3.35355030656	-28211.3066285	0.549245002523	0.429097658221	-3.23300638043	-0.237969280129	1.72166007289
2.0	0.63	-3.35355030656	-25788.3254274	0.611827367602	0.485577275875	-3.42884882073	-0.230033866865	1.7025188237
2.0	0.62	-3.35355030656	-24033.6799733	0.683861687653	0.551501361011	-3.60911009503	-0.222289087019	1.68394061601
2.0	0.61	-3.35355030656	-21528.7997552	0.767217828708	0.628867072711	-3.77476600096	-0.214730383653	1.6659294969
2.0	0.6	-3.35355030656	-21778.0039073	0.864239524182	0.720199603485	-3.92674395814	-0.207353421371	1.64848605183
2.0	0.59	-3.35355030656	-19562.2275428	0.977896160361	0.828725559628	-4.06592576094	-0.200154081107	1.63160800467
2.0	0.58	-3.35355030656	-16926.6776158	1.1119957603	0.958617034739	-4.19315007811	-0.193128456718	1.6152907559
2.0	0.57	-3.35355030656	-15198.2135636	1.27149030103	1.11534236932	-4.30921471237	-0.186272853728	1.59952787391
2.0	0.56	-3.35355030656	-13800.3477413	1.46292449274	1.30618258281	-4.41487859648	-0.179583791327	1.5843115595
2.0	0.55	-3.35355030656	-10466.3901328	1.69511540965	1.54101400877	-4.51086349431	-0.173058009101	1.69511540965
2.0	0.54	-3.35355030656	-9937.49743049	1.98021948419	1.83353655944	-4.59785534183	-0.16669248166	1.98021948419
2.0	0.53	-3.35355030656	-9886.22696168	2.33548341194	2.20328623768	-4.67650511205	-0.16048444523	2.33548341194
2.0	0.52	-3.35355030656	-6840.59891148	2.78628057166	2.67911593429	-4.7474289539	-0.154431446711	2.78628057166
2.0	0.51	-3.35355030656	-6155.5087398	3.37176244264	3.30564945357	-4.81120710709	-0.148531434137	3.37176244264
2.0	0.5	-3.35355030656	-4103.11138108	4.15640462099	4.15640462099	-4.86838044485	-0.142782931408	4.15640462099
2.0	0.49	-3.35355030656	-2319.77205198	5.25683287605	5.36411517964	-4.91944158869	-0.137185411636	5.25683287605
2.0	0.48	-3.35355030656	451.094307261	6.91728274114	7.20550285536	-4.96481080247	-0.131740221319	6.91728274114
2.0	0.47	-3.35355030656	-6810.10193711	9.80416057426	10.4299580577	-5.00475249404	-0.12645360284	9.80416057426
2.0	0.46	-3.35355030656	47165.9057603	17.737655753	19.280060601	-5.03876855874	-0.121357434512	17.737655753
