	T	rho	B2	P_virial	P_kappa	Sk0	kappa	mu	s2	Sk_max
0	2.0	0.01	-3.35355030656	44.5259745127	0.0193292899387	1.06642726157	53.3213630784	-9.33642677797	-6.130512846e-05	1.06642726157
1	2.0	0.02	-3.35355030656	173.83484343	0.0374743240953	1.14052011445	28.5130028613	-8.07477192688	-0.000245211945017	1.14052011445
2	2.0	0.03	-3.35355030656	360.520592621	0.0544147232608	1.22362033212	20.3936722019	-7.3869869299	-0.000551714536836	1.22362033212
3	2.0	0.04	-3.35355030656	566.111770938	0.0701778476836	1.31740940273	16.4676175341	-6.93322702606	-0.000980824169431	1.31740940273
4	2.0	0.05	-3.35355030656	902.170008593	0.084790832809	1.42402870981	14.2402870981	-6.60695744288	-0.00153258221708	1.42402870981
5	2.0	0.06	-3.35355030656	1463.67525138	0.0982803904316	1.54625770024	12.8854808353	-6.36070067104	-0.002207078281	1.54625770024
6	2.0	0.07	-3.35355030656	1289.40518725	0.110672533972	1.68778757061	12.0556255044	-6.16911184999	-0.0030044766304	1.68778757061
7	2.0	0.08	-3.35355030656	2343.213404	0.121992182188	1.85366021119	11.5853763199	-6.01704791271	-0.00392505610233	1.85366021119
8	2.0	0.09	-3.35355030656	4487.98438293	0.132262558735	2.05101086399	11.3945047999	-5.89473143505	-0.00496927535453	2.05101086399
9	2.0	0.1	-3.35355030656	4808.76374014	0.141504227489	2.29041333688	11.4520666844	-5.79548245824	-0.00613788501913	2.29041333688
10	2.0	0.11	-3.35355030656	7146.88732347	0.149733423245	2.58854668776	11.766121308	-5.71454161028	-0.00743213980646	2.58854668776
11	2.0	0.12	-3.35355030656	5794.52514707	0.156958856691	2.97418832993	12.3924513747	-5.64841766964	-0.00885425516022	2.97418832993
12	2.0	0.13	-3.35355030656	6128.17937691	0.163174598328	3.50449303971	13.4788193835	-5.59452587981	-0.0104085776064	3.50449303971
13	2.0	0.14	-3.35355030656	8625.68537845	0.168339331236	4.32665718958	15.4523471056	-5.55107469887	-0.0121057346705	4.32665718958
14	2.0	0.15	-3.35355030656	8833.97891726	0.172240936306	6.28791639721	20.959721324	-5.51819399851	-0.0139992633674	6.28791639721
